bigram,total_bigrams
chapter text,37274
middle earth,17822
lord elrond,14172
blue eyes,10791
deep breath,9717
minas tirith,9329
notes chapter,9237
king thranduil,6437
legolas looked,5901
eyes widened,5359
woodland realm,4918
lady galadriel,4894
wood elf,4758
legolas smiled,4263
legolas nodded,4093
thorin oakenshield,3970
prince legolas,3784
stepped forward,3523
elven king,3442
bilbo baggins,3358
uruk hai,3296
dol guldur,3137
lake town,3041
dark haired,2925
leaned forward,2870
thranduil looked,2745
master baggins,2734
dark lord,2713
elf lord,2663
text chapter,2651
legolas replied,2551
legolas eyes,2536
wood elves,2525
lonely mountain,2495
grey eyes,2449
eyes wide,2394
gil galad,2362
thranduil smiled,2325
thorin looked,2307
haired elf,2303
green eyes,2223
legolas sighed,2205
golden hair,2202
misty mountains,2201
elven prince,2060
eyes closed,2044
mellon nin,2012
dark hair,1987
lord celeborn,1963
swallowed hard,1941
thranduil nodded,1937
legolas laughed,1920
eyes narrowed,1915
eyes met,1871
aragorn looked,1869
witch king,1849
dark eyes,1812
iron hills,1812
don’t worry,1795
bilbo looked,1773
time legolas,1767
thorin nodded,1729
ered luin,1723
legolas shook,1711
dwarf king,1648
i’m afraid,1643
eryn lasgalen,1591
head slightly,1566
king thorin,1545
elf prince,1522
elf king,1485
ion nin,1484
bilbo nodded,1478
i’m glad,1476
aragorn nodded,1471
dol amroth,1442
golden wood,1437
thranduil replied,1426
chapter 2,1420
legolas stood,1410
blond hair,1406
helm's deep,1402
helm’s deep,1395
elf knight,1394
legolas legolas,1393
legolas found,1376
chapter 1,1369
blue mountains,1362
lord glorfindel,1359
thranduil sighed,1317
master dwarf,1301
left hand,1300
fell asleep,1291
front door,1280
legolas told,1265
legolas whispered,1256
bilbo smiled,1240
lord legolas,1240
gimli looked,1233
blonde hair,1231
free hand,1219
undying lands,1204
brown eyes,1198
time ago,1194
legolas hand,1184
text legolas,1183
wide eyes,1182
ada legolas,1174
lower lip,1173
fell silent,1172
eryn galen,1170
white city,1158
black hair,1134
legolas sat,1131
legolas answered,1128
wide eyed,1124
half elf,1121
uncle thorin,1114
dining hall,1102
chapter 3,1099
lady arwen,1085
caught sight,1068
legolas gimli,1067
legolas watched,1067
aragorn legolas,1056
eye contact,1041
homely house,1040
thorin bilbo,1040
king elessar,1039
thorin smiled,1039
thranduil’s eyes,1027
uncle bilbo,1020
legolas stared,1019
aragorn smiled,1011
legolas aragorn,1011
meleth nin,1010
gimli legolas,1009
forest floor,968
days ago,963
red hair,959
golden haired,956
